directory name,author name,author email,date,curator name,curator email,release tag,commit message
OrbFit5.0.5,Andrea Milani,milani@dm.unipi.it,09/27/2019 09:17:12,OrbFit Curator Team,gronchi@dm.unipi.it,*,"|See README.patches." 
OrbFit4.2,Andrea Milani,milani@dm.unipi.it,06/11/2009 14:43:48,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|New fatures involving the atrometric star catalog debiasing.|It makes use of some HEALpix routines.||See README.patches." 
OrbFit4.0,Andrea Milani,milani@dm.unipi.it,01/23/2009 20:18:07,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches." 
OrbFit3.5.1,Andrea Milani,milani@dm.unipi.it,07/24/2008 17:03:44,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches."  
OrbFit3.5,Andrea Milani,milani@dm.unipi.it,12/05/2007 17:03:38,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches." 
OrbFit3.4.3,Andrea Milani,milani@dm.unipi.it,08/24/2007 06:18:16,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches."  
OrbFit3.4.2,Andrea Milani,milani@dm.unipi.it,06/28/2007 15:40:39,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches." 
OrbFit3.4.1,Andrea Milani,milani@dm.unipi.it,03/03/2007 16:28:43,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches." 
OrbFit3.3.2,Andrea Milani,milani@dm.unipi.it,07/30/2006 09:09:58,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches." 
OrbFit3.3.1,Andrea Milani,milani@dm.unipi.it,11/15/2005 15:22:42,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches." 
OrbFit3.3,Andrea Milani,milani@dm.unipi.it,06/28/2005 12:50:36,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|See README.patches. | (new MOID algorithms, stable for e=1)" 
OrbFit3.2.5,Andrea Milani,milani@dm.unipi.it,05/06/2005 08:46:46,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|It is not only a conversion to Fortran90, but incorporates many new features.| See README.patches." 
OrbFit2.3,Andrea Milani,milani@dm.unipi.it,05/11/2002 23:05:27,OrbFit Curator Team,giacomo.tommei@unipi.it,*,"|Preparation of the module structure for the next Fortran 90 version" 
